Country	Number groups	Revenue	P/L before tax	Income tax paid	Income tax accrued	capital	accum_earnings	Number employees	Tangible assets	ISO2	Income tax as % of pretax profits	Sales share %	Employment share %	Profit total (M)	Sales total (M)	Employment (th)	Subject Descriptor	Units	Scale	Country/Series-specific Notes	GDP_USD	Estimates Start After	Reg	Inc	Year	ISO	TotTax (X)	CIT (AK)	CITnr (AM)	TTxsc (Y)	GDP_LCU	number_datapoints	CIT	G7	G24	G77	EU	OECD	G20	US	G7_noUS	OECD_noUS	G20_noOECD	All	TotTax (X) USD	CIT (AK) USD	CITnr (AM) USD	TTxsc (Y) USD	routine	residual	reallocation_residual_1	reallocation_residual_2	new_profits_1	new_profits_2	gains_1	gains_2	residual_0.8	new_profits_3	new_profits_4	gains_3	gains_4	routine_nonhaven	new_profits_5	new_profits_6	gains_5	gains_6	new_profits_7	new_profits_8	gains_7	gains_8	gains_1_tax	gains_1_%tot_tax	gains_1_%cit	gains_2_tax	gains_2_%tot_tax	gains_2_%cit	gains_3_tax	gains_3_%tot_tax	gains_3_%cit	gains_4_tax	gains_4_%tot_tax	gains_4_%cit	gains_5_tax	gains_5_%tot_tax	gains_5_%cit	gains_6_tax	gains_6_%tot_tax	gains_6_%cit	gains_7_tax	gains_7_%tot_tax	gains_7_%cit	gains_8_tax	gains_8_%tot_tax	gains_8_%cit
All jurisdictions	1101.0	16265102689056.0	1420512512505.0	262829548768.0	263123782157.0	22375636250582.0	11263467499021.0	27553900.0	6216011124153.0	World	18.50244517061759																							False	False	False	False	False	False	False	False	False	False	True					466200834311.475	954311678193.525	190862335638.70502	190862335638.70502	1420512512505.0	1420512512505.0	0.0	0.0	763449342554.8201	1420512512505.0	1420512512505.0	0.0	0.0	1076045064901.0	1420512512505.0	1420512512505.0	0.0	0.0	1420512512505.0	1420512512505.0	0.0	0.0																								
United States	1017.0	10518611804865.0	867852046303.0	176579355389.0	185540113249.0	11807553304223.0	7383423717579.0	16377437.0	4223574794406.0	US	20.346711878046253						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	18624450000000.0	2017.0	North America	High Income	1980.0	USA	0.27011274287415193	0.01909301271721392	0.01909301271721392	0.20784717686062384	2857330.0	5.0	0.4000000060000001	True	False	False	False	True	True	True	False	False	False	True	5030701274022.499	355596860701.1148	355596860701.1148	3871039353081.8457	316768109580.45	551083936722.55	123430319201.37889	118437363673.35695	933919705587.3445	908954927947.2349	66067659284.34448	41102881644.23486	440867149378.04004	881065578159.8689	876072622631.8469	13213531856.868896	8220576328.846924	867852046303.0	1090618507113.4261	1081607244409.4335	222766460810.42615	213755198106.43347	918642812691.6875	881482228974.625	50790766388.6875	13630182671.625	26427064110.143753	0.005253157098913355	0.07431748429398016	16441152904.311237	0.003268163225912449	0.046235371346909346	5285412822.02875	0.001050631419782671	0.014863496858796033	3288230580.862228	0.0006536326451824859	0.009247074269381815	89106585660.76924	0.017712557515767675	0.2505831617441214	85502080525.1046	0.01699605599056729	0.24044666861378888	20316306860.2196	0.004038464173002839	0.05713297586531789	5452073150.431097	0.001083760067127117	0.015332174585797755
Stateless entities and other country	453.0	644971468306.0	120847250430.0	703005166.0	824776627.0	1618818933438.0	661979718734.0	482627.0	385980718429.0	Stateless	0.5817303773967214													Tax haven									0.35	False	False	False	False	False	False	False	False	False	False	True					28948553882.175	91898696547.825	7568397397.456132	5455746400.909994	66790540869.45566	56227285886.72497	-54056709560.54434	-64619964543.27503	73518957238.26	110035908517.89113	107923257521.34499	-10811341912.108871	-12923992908.655014	0.0	13659408102.861874	9846505499.407007	-107187842327.13812	-111000744930.59299	56328574030.69794	40604952263.69404	-64518676399.30206	-80242298166.30597	-18919848346.190517			-22616987590.14626			-3783969669.238105			-4523397518.029255			-37515744814.49834			-38850260725.70754			-22581536739.755722			-28084804358.20709		
Algeria	33.0	2502085411.0	1219730603.0	715789440.0	649633022.0	884820957.0	1402442193.0	4133.0	1615036122.0	DZ	58.68422406058135						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	159049000000.0	2016.0	Middle East & North Africa	UMICs	1980.0	DZA	0.1432174722089265			0.1432174722089265	162500.0	3.0	0.25	False	True	True	False	False	False	False	False	False	False	True	22778595737.35755			22778595737.35755	121127709.14999999	1098602893.85	29360642.51425305	28994702.03797366	267930921.7212652	266101219.3398683	-951799681.2787348	-953629383.6601317	878882315.0799999	1029370666.7442529	1029004726.2679735	-190359936.25574708	-190725876.73202646	1219730603.0	1272720552.814107	1272060105.1599529	52989949.81410694	52329502.15995288	218519593.85864767	215796044.32412395	-1001211009.1413523	-1003934558.675876	-237949920.3196837	-0.010446206740015979		-238407345.91503292	-0.010466288118193258		-47589984.06393677	-0.002089241348003197		-47681469.183006614	-0.0020932576236386527		13247487.453526735	0.0005815761255115686		13082375.53998822	0.0005743275700939171		-250302752.28533807	-0.010988506717946373		-250983639.668969	-0.01101839826137081	
Angola	31.0	5987970691.0	-477367266.0	495422226.0	498517108.0	3154368161.0	-1727795212.0	10297.0	17038207917.0	AO	-103.78219481852786						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	95337000000.0	2015.0	Sub - Saharan Africa	LMICs	1980.0	AGO	0.1662693771190832			0.15807682247326316	0.000161254	3.0	0.3200000048	False	False	False	False	False	False	False	False	False	False	True	15851623606.402037			15070570024.13349	1277865593.7749999	-1755232859.7749999	70265653.6309087	70795826.7913515	1629193861.9295433	1631844727.7317574	2106561127.9295433	2109211993.7317574	-1404186287.82	-56055040.41409138	-55524867.25364858	421312225.58590865	421842398.7463514	-477367266.0	-350552144.09829843	-349595290.0665445	126815121.90170157	127771975.93345553	522959335.313756	526905203.44789094	1000326601.313756	1004272469.447891	674099571.0489473	0.0425255852515131		674947848.11838	0.042579098827818934		134819914.20978945	0.00850511705030262		134989569.62367597	0.008515819765563787		40580839.61725709	0.0025600430987313878		40887032.91201126	0.0025793593090046693		320104517.2219696	0.020193800027694837		321367195.043833	0.020273456083958592	
Botswana	20.0	276754742.0	12152580.0	4017169.0	3470990.0	20169548.0	36714926.0	1310.0	42759061.0	BW	33.05610002155921						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	15660000000.0	2015.0	Sub - Saharan Africa	UMICs	1980.0	BWA	0.23153546323749874			0.23153546323749874	879.0	3.0	0.219999999	False	False	False	False	False	False	False	False	False	False	True	3625845354.29923			3625845354.29923	3206929.5749999997	8945650.425	3247569.810472123	6160885.999576674	19444778.627360616	34011359.57288337	7292198.627360616	21858779.572883368	7156520.340000001	13611019.725472124	16524335.914576676	1458439.7254721243	4371755.914576676	12152580.0	18013778.75241787	23271718.137713477	5861198.75241787	11119138.137713477	24170371.464707296	45853026.06315165	12017791.464707296	33700446.06315165	1604283.6907271368	0.0004424578364394137		4808931.484175561	0.0013262924957551001		320856.7381454276	8.849156728788281e-05		961786.2968351127	0.00026525849915102015		1289463.7196707327	0.00035563119594766843		2446210.379177827	0.0006746593249701924		2643914.110217814	0.0007291855696721531		7414098.100192917	0.0020447915936077877	
Cameroon	13.0	86250356.0	-34590586.0	8724124.0	5750930.0	32048346.0	5901016.0	575.0	28962338.0	CM	-25.22109339228887						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	32230000000.0	2016.0	Sub - Saharan Africa	LMICs	1980.0	CMR	0.13376192369644824	0.023819514351113787		0.13145357149503434	1713950.0	4.0	0.330000013	False	False	True	False	False	False	False	False	False	False	True	4311146800.7365265	767702947.5363973		4236748609.284957	2172175.35	-36762761.35	1012102.0881661103	2497526.7152630948	7232685.790830553	14659808.926315473	41823271.79083055	49250394.92631547	-29410209.080000002	-26225931.64183389	-24740507.014736906	8364654.35816611	9850078.985263094	-34590586.0	-32763948.90128392	-30083061.50570676	1826637.0987160802	4507524.494293239	7532673.617145269	18588098.7858313	42123259.61714527	53178684.7858313	13801680.234676614	0.003201394170181981	0.017977891421372023	16252630.965939239	0.0037699089632398045	0.02117046836682712	2760336.0469353227	0.0006402788340363961	0.0035955782842744047	3250526.1931878477	0.0007539817926479609	0.004234093673365424	602790.2663225887	0.000139821326942429	0.0007851868593926559	1487483.141714587	0.00034503189301288975	0.0019375764369382788	13900676.221260313	0.003224356966662673	0.018106842322109584	17548966.67064723	0.004070602900288416	0.02285905860719028
Congo (Brazzaville)	15.0	507627605.0	-429416667.0	45717068.0	38070890.0	159832636.0	-235530161.0	936.0	3607467348.0	CG	-10.646318951565052						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	7787000000.0	2015.0	Sub - Saharan Africa	LMICs	1980.0	COG	0.17503683161452466			0.17503683161452466	440143.0	3.0	0.325000003	False	False	True	False	False	False	False	False	False	False	True	1363011807.7823036			1363011807.7823036	270560051.09999996	-699976718.0999999	5956740.155730621	6220146.126951426	300343751.87865305	301660781.73475707	729760418.878653	731077448.7347571	-559981374.4799999	-283464583.22426933	-283201177.25304854	145952083.77573067	146215489.74695146	-429416667.0	-418665970.3231609	-418190576.4625207	10750696.676839113	11226090.537479281	44333649.67813165	46294075.64030775	473750316.67813164	475710742.6403077	237172138.3248435	0.1740059308148884		237600173.03202838	0.17431996676435044		47434427.664968714	0.03480118616297769		47520034.60640569	0.0348639933528701		3493976.4522248018	0.002563423465794986		3648479.458359038	0.0026767775873455697		153968854.34164372	0.11296223074703927		154605992.78523222	0.1134296797008566	
Cote D'Ivoire (Ivory Coast)	19.0	1195210848.0	-51869522.0	9869963.0	13141456.0	653170132.0	-317366403.0	1068.0	199283228.0	CI	-19.028444102492408						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	36375000000.0	2015.0	Sub - Saharan Africa	LMICs	1980.0	CIV	0.16470285497589252			0.16470285497589252	2121148.0	3.0	0.25	False	True	False	False	False	False	False	False	False	False	True	5991066349.74809			5991066349.74809	14946242.1	-66815764.1	14025164.082332455	10711531.635636285	85072062.51166226	68503900.27818142	136941584.51166224	120373422.27818142	-53452611.28	-24481205.097667545	-27794837.544363715	27388316.902332455	24074684.455636285	-51869522.0	-26556971.687225584	-32537399.97545489	25312550.312774416	19332122.02454511	104383722.44695923	79721673.0351531	156253244.44695923	131591195.0351531	34235396.12791556	0.0057144077747286305		30093355.569545355	0.005023038272779387		6847079.225583114	0.0011428815549457264		6018671.113909071	0.0010046076545558776		6328137.578193604	0.0010562623093733033		4833030.506136278	0.000806706222897948		39063311.11173981	0.006520260139229192		32897798.758788276	0.005491142450821222	
Egypt	138.0	10302447024.0	430613663.0	515920549.0	475988503.0	1432994190.0	10075866816.0	34226.0	5294260864.0	EG	119.81053861730342						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	332484000000.0	2017.0	Middle East & North Africa	LMICs	1980.0	EGY		0.033400576368876084	0.014736599423631125	0.13314121037463975	16466.0	4.0	0.2349999964	False	True	True	False	False	False	False	False	False	False	True		11105157233.429396	4899683522.766571	44267322190.20172	397069564.8	33544098.199999988	120893740.3830673	178986429.01206937	1001538266.7153363	1292001709.8603468	570924603.7153363	861388046.8603468	26835278.55999999	544798583.7430673	602891272.3720694	114184920.74306726	172277609.37206936	430613663.0	648802118.2638305	753647530.0603538	218188455.26383054	323033867.06035376	899764064.6227777	1332124859.152528	469150401.6227777	901511196.152528	134167279.81777546		0.012081529058759947	202426187.91118452		0.0182281244340989	26833455.96355509		0.002416305811751989	40485237.5822369		0.00364562488681978	51274286.20152174		0.004617159858590104	75912957.5962612		0.006835829155821726	110250342.69241132		0.009927850671085437	211855127.8504038		0.019077183996338662
